index,keywords,cast,genres,director,title
0,avatar future marine native paraplegic,Joel David Moore CCH Pounder Wes Studi,Action Adventure Fantasy Sci-Fi,James Cameron,Avatar
1,goddess marriage ceremony marriage proposal pirate singapore,Orlando Bloom Johnny Depp Jack Davenport,Action Adventure Fantasy,Gore Verbinski,Pirates of the Caribbean: At World's End
2,bomb espionage sequel spy terrorist,Rory Kinnear Christoph Waltz Stephanie Sigman,Action Adventure Thriller,Sam Mendes,Spectre
3,deception imprisonment lawlessness police officer terrorist plot,Christian Bale Tom Hardy Joseph Gordon-Levitt,Action Thriller,Christopher Nolan,The Dark Knight Rises
4,alien american civil war male nipple mars princess,Samantha Morton Daryl Sabara Polly Walker,Action Adventure Sci-Fi,Andrew Stanton,John Carter
5,sandman spider man symbiote venom villain,James Franco J.K. Simmons Kirsten Dunst,Action Adventure Romance,Sam Raimi,Spider-Man 3
6,17th century based on fairy tale disney flower tower,Donna Murphy Brad Garrett M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,Nathan Greno,Tangled
7,artificial intelligence based on comic book captain america marvel cinematic universe superhero,Robert Downey Jr. Chris Hemsworth Scarlett Johansson,Action Adventure Sci-Fi,Joss Whedon,Avengers: Age of Ultron
8,blood book love potion professor,Daniel Radcliffe Alan Rickman Rupert Grint,Adventure Family Fantasy Mystery,David Yates,Harry Potter and the Half-Blood Prince
9,based on comic book batman sequel to a reboot superhero superman,Lauren Cohan Henry Cavill Alan D. Purwin,Action Adventure Sci-Fi,Zack Snyder,Batman v Superman: Dawn of Justice
10,crystal epic lex luthor lois lane return to earth,Marlon Brando Kevin Spacey Frank Langella,Action Adventure Sci-Fi,Bryan Singer,Superman Returns
11,action hero attempted rape bond girl official james bond series revenge,Mathieu Amalric Giancarlo Giannini Rory Kinnear,Action Adventure,Marc Forster,Quantum of Solace
12,box office hit giant squid heart liar's dice monster,Orlando Bloom Johnny Depp Jack Davenport,Action Adventure Fantasy,Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest
13,horse outlaw texas texas ranger train,Ruth Wilson Johnny Depp Tom Wilkinson,Action Adventure Western,Gore Verbinski,The Lone Ranger
14,based on comic book british actor playing american character final battle origin of hero reboot,Christopher Meloni Henry Cavill Harry Lennix,Action Adventure Fantasy Sci-Fi,Zack Snyder,Man of Steel
15,brother brother relationship brother sister relationship good versus evil king narnia,Pierfrancesco Favino Peter Dinklage Damián Alcázar,Action Adventure Family Fantasy,Andrew Adamson,The Chronicles of Narnia: Prince Caspian
16,alien invasion assassin battle iron man soldier,Robert Downey Jr. Chris Hemsworth Scarlett Johansson,Action Adventure Sci-Fi,Joss Whedon,The Avengers
17,blackbeard captain pirate revenge soldier,Sam Claflin Johnny Depp Stephen Graham,Action Adventure Fantasy,Rob Marshall,Pirates of the Caribbean: On Stranger Tides
18,alien criminal m.i.b. maximum security prison prison,Michael Stuhlbarg Will Smith Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,Barry Sonnenfeld,Men in Black 3
19,army elf hobbit middle earth orc,Adam Brown Aidan Turner James Nesbitt,Adventure Fantasy,Peter Jackson,The Hobbit: The Battle of the Five Armies
20,lizard outcast spider spider man teenager,Andrew Garfield Emma Stone Chris Zylka,Action Adventure Fantasy,Marc Webb,The Amazing Spider-Man
21,1190s archer england king of england robin hood,William Hurt Mark Addy Scott Grimes,Action Adventure Drama History,Ridley Scott,Robin Hood
22,dwarf elf lake town mountain sword and sorcery,Adam Brown Aidan Turner James Nesbitt,Adventure Fantasy,Peter Jackson,The Hobbit: The Desolation of Smaug
23,children epic friend girl quest,Eva Green Christopher Lee Kristin Scott Thomas,Adventure Family Fantasy,Chris Weitz,The Golden Compass
24,animal name in title ape abducts a woman gorilla island king kong,Thomas Kretschmann Naomi Watts Evan Parke,Action Adventure Drama Romance,Peter Jackson,King Kong
25,artist love ship titanic wet,Kate Winslet Leonardo DiCaprio Gloria Stuart,Drama Romance,James Cameron,Titanic
26,based on comic book knife marvel cinematic universe returning character killed off superhero,Scarlett Johansson Robert Downey Jr. Chris Evans,Action Adventure Sci-Fi,Anthony Russo,Captain America: Civil War
27,box office flop hawaii naval oahu hawaii ship,Alexander Skarsgård Liam Neeson Tadanobu Asano,Action Adventure Sci-Fi Thriller,Peter Berg,Battleship
28,dinosaur disaster film experiment gone wrong jurassic park velociraptor,Judy Greer Bryce Dallas Howard Omar Sy,Action Adventure Sci-Fi Thriller,Colin Trevorrow,Jurassic World
29,brawl childhood home computer cracker intelligence agency terrorist cell,Helen McCrory Albert Finney Rory Kinnear,Action Adventure Thriller,Sam Mendes,Skyfall
30,death doctor scientist super villain tentacle,James Franco J.K. Simmons Kirsten Dunst,Action Adventure Fantasy Romance,Sam Raimi,Spider-Man 2
31,armor explosion human bomb missile attack terrorist,Jon Favreau Robert Downey Jr. Don Cheadle,Action Adventure Sci-Fi,Shane Black,Iron Man 3
32,alice in wonderland mistaking reality for dream queen shrinking shrinking potion,Alan Rickman Johnny Depp Anne Hathaway,Adventure Family Fantasy,Tim Burton,Alice in Wonderland
